id (DMA),year,month,week,after,close, sales ,,,,,,,,,,
94,2011,5,20,0,1,"12,170",,,,,,,,,,
94,2011,5,21,0,1,"12,564",,,,,,,,,,
94,2011,5,22,0,1,"18,893",,,,,,,,,,
94,2011,5,23,0,1,"26,934",,,,,,,,,,
94,2011,6,24,0,1,"24,155",,,,,,,,,,
94,2011,6,25,0,1,"8,759",,,,,,,,,,
94,2011,6,26,0,1,"19,704",,,,,,,,,,
94,2011,6,27,0,1,"15,149",,,,,,,,,,
94,2011,7,28,0,1,"9,231",,,,,,,,,,
94,2011,7,29,0,1,"11,269",,,,,,,,,,
94,2011,7,30,0,1,"8,974",,,,,,,,,,
94,2011,7,31,0,1,"16,059",,,,,,,,,,
94,2011,8,32,0,1,"10,029",,,,,,,,,,
94,2011,8,33,0,1,"22,567",,,,,,,,,,
94,2011,8,34,0,1,"6,557",,,,,,,,,,
94,2011,8,35,0,1,"7,077",,,,,,,,,,
94,2011,8,36,0,1,"12,670",,,,,,,,,,
94,2011,9,37,0,1,"13,193",,,,,,,,,,
94,2011,9,38,0,1,"11,637",,,,,,,,,,
94,2011,9,39,0,1,"9,284",,,,,,,,,,
94,2011,9,40,0,1,"26,965",,,,,,,,,,
94,2011,10,41,0,1,"9,199",,,,,,,,,,
94,2011,10,42,0,1,"13,284",,,,,,,,,,
94,2011,10,43,1,1,"10,123",,,,,,,,,,
94,2011,10,44,1,1,"12,277",,,,,,,,,,
94,2011,10,45,1,1,"5,853",,,,,,,,,,
94,2011,11,46,1,1,"21,931",,,,,,,,,,
94,2011,11,47,1,1,"15,702",,,,,,,,,,
94,2011,11,48,1,1,"13,186",,,,,,,,,,
94,2011,11,49,1,1,"28,848",,,,,,,,,,
94,2011,12,50,1,1,"13,895",,,,,,,,,,
94,2011,12,51,1,1,"7,065",,,,,,,,,,
94,2011,12,52,1,1,"16,054",,,,,,,,,,
94,2011,12,53,1,1,"13,271",,,,,,,,,,
94,2012,1,1,1,1,"7,956",,,,,,,,,,
94,2012,1,2,1,1,"8,038",,,,,,,,,,
94,2012,1,3,1,1,"4,293",,,,,,,,,,
94,2012,1,4,1,1,"10,802",,,,,,,,,,
94,2012,1,5,1,1,"6,442",,,,,,,,,,
94,2012,1,6,1,1,"6,990",,,,,,,,,,
